"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~9세","2023년10월_계_10~19세","2023년10월_계_20~29세","2023년10월_계_30~39세","2023년10월_계_40~49세","2023년10월_계_50~59세","2023년10월_계_60~69세","2023년10월_계_70~79세","2023년10월_계_80~89세","2023년10월_계_90~99세","2023년10월_계_100세 이상","2023년10월_남_총인구수","2023년10월_남_연령구간인구수","2023년10월_남_0~9세","2023년10월_남_10~19세","2023년10월_남_20~29세","2023년10월_남_30~39세","2023년10월_남_40~49세","2023년10월_남_50~59세","2023년10월_남_60~69세","2023년10월_남_70~79세","2023년10월_남_80~89세","2023년10월_남_90~99세","2023년10월_남_100세 이상","2023년10월_여_총인구수","2023년10월_여_연령구간인구수","2023년10월_여_0~9세","2023년10월_여_10~19세","2023년10월_여_20~29세","2023년10월_여_30~39세","2023년10월_여_40~49세","2023년10월_여_50~59세","2023년10월_여_60~69세","2023년10월_여_70~79세","2023년10월_여_80~89세","2023년10월_여_90~99세","2023년10월_여_100세 이상"
"서울특별시  (1100000000)","9,400,249","9,400,249","518,510","736,846","1,364,332","1,428,212","1,426,244","1,489,967","1,318,049","734,458","337,391","44,769","1,471","4,548,150","4,548,150","265,937","377,138","648,072","714,236","705,608","732,494","623,811","332,352","136,307","11,865","330","4,852,099","4,852,099","252,573","359,708","716,260","713,976","720,636","757,473","694,238","402,106","201,084","32,904","1,141"
"서울특별시 종로구 (1111000000)","139,606","139,606","6,007","9,781","21,571","19,312","19,264","23,870","20,697","11,480","6,634","954","36","67,466","67,466","3,022","4,809","10,232","9,653","9,323","11,851","10,384","5,194","2,675","313","10","72,140","72,140","2,985","4,972","11,339","9,659","9,941","12,019","10,313","6,286","3,959","641","26"
"서울특별시 종로구 청운효자동(1111051500)","11,345","11,345","605","1,088","1,383","1,522","1,900","1,903","1,412","897","552","80","3","5,181","5,181","313","564","675","685","831","853","654","353","229","23","1","6,164","6,164","292","524","708","837","1,069","1,050","758","544","323","57","2"
"서울특별시 종로구 사직동(1111053000)","9,016","9,016","467","659","1,056","1,412","1,415","1,475","1,245","694","501","87","5","4,005","4,005","231","282","456","620","623","681","583","283","208","36","2","5,011","5,011","236","377","600","792","792","794","662","411","293","51","3"
"서울특별시 종로구 삼청동(1111054000)","2,246","2,246","87","161","239","281","321","348","384","247","149","27","2","1,073","1,073","41","95","120","128","153","173","175","118","57","12","1","1,173","1,173","46","66","119","153","168","175","209","129","92","15","1"
"서울특별시 종로구 부암동(1111055000)","9,125","9,125","386","835","1,113","1,178","1,399","1,623","1,345","741","424","77","4","4,319","4,319","189","453","572","573","622","745","624","343","181","17","0","4,806","4,806","197","382","541","605","777","878","721","398","243","60","4"
"서울특별시 종로구 평창동(1111056000)","17,415","17,415","1,017","1,518","2,038","2,061","2,499","3,143","2,790","1,389","813","138","9","8,107","8,107","553","734","1,010","967","1,123","1,411","1,309","624","332","42","2","9,308","9,308","464","784","1,028","1,094","1,376","1,732","1,481","765","481","96","7"
"서울특별시 종로구 무악동(1111057000)","7,990","7,990","556","923","823","841","1,300","1,422","1,099","600","374","48","4","3,663","3,663","242","395","385","394","606","713","504","266","142","16","0","4,327","4,327","314","528","438","447","694","709","595","334","232","32","4"
"서울특별시 종로구 교남동(1111058000)","9,699","9,699","741","779","1,121","1,431","1,686","1,629","1,191","686","388","47","0","4,454","4,454","367","373","517","650","777","789","536","269","163","13","0","5,245","5,245","374","406","604","781","909","840","655","417","225","34","0"
"서울특별시 종로구 가회동(1111060000)","3,866","3,866","150","312","416","498","629","687","547","378","217","32","0","1,789","1,789","86","163","189","228","294","329","254","154","82","10","0","2,077","2,077","64","149","227","270","335","358","293","224","135","22","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,697","6,697","167","206","952","971","835","1,130","1,323","693","373","45","2","4,070","4,070","90","104","467","574","511","780","904","429","194","16","1","2,627","2,627","77","102","485","397","324","350","419","264","179","29","1"
"서울특별시 종로구 종로5.6가동(1111063000)","5,396","5,396","159","202","1,194","886","571","860","786","469","234","35","0","2,852","2,852","74","88","558","498","329","498","469","218","110","10","0","2,544","2,544","85","114","636","388","242","362","317","251","124","25","0"
"서울특별시 종로구 이화동(1111064000)","6,931","6,931","177","316","1,512","1,228","797","1,004","937","574","340","46","0","3,296","3,296","91","162","690","613","408","491","451","254","117","19","0","3,635","3,635","86","154","822","615","389","513","486","320","223","27","0"
"서울특별시 종로구 혜화동(1111065000)","15,919","15,919","524","1,213","4,313","2,005","1,936","2,302","1,715","1,082","720","103","6","7,646","7,646","252","590","2,128","1,062","931","1,103","828","435","284","30","3","8,273","8,273","272","623","2,185","943","1,005","1,199","887","647","436","73","3"
"서울특별시 종로구 창신제1동(1111067000)","4,537","4,537","110","175","524","614","500","844","1,002","491","254","23","0","2,403","2,403","55","99","265","349","271","452","559","247","102","4","0","2,134","2,134","55","76","259","265","229","392","443","244","152","19","0"
"서울특별시 종로구 창신제2동(1111068000)","7,528","7,528","160","337","969","883","815","1,674","1,478","776","387","49","0","3,897","3,897","81","181","506","519","454","873","763","356","143","21","0","3,631","3,631","79","156","463","364","361","801","715","420","244","28","0"
"서울특별시 종로구 창신제3동(1111069000)","6,377","6,377","308","416","832","915","809","1,172","1,086","512","282","45","0","3,132","3,132","160","213","433","463","405","567","547","227","95","22","0","3,245","3,245","148","203","399","452","404","605","539","285","187","23","0"
"서울특별시 종로구 숭인제1동(1111070000)","5,770","5,770","202","335","710","803","809","1,084","981","525","282","38","1","2,796","2,796","100","170","332","413","425","539","466","247","96","8","0","2,974","2,974","102","165","378","390","384","545","515","278","186","30","1"
"서울특별시 종로구 숭인제2동(1111071000)","9,749","9,749","191","306","2,376","1,783","1,043","1,570","1,376","726","344","34","0","4,783","4,783","97","143","929","917","560","854","758","371","140","14","0","4,966","4,966","94","163","1,447","866","483","716","618","355","204","20","0"
"서울특별시 중구 (1114000000)","121,300","121,300","5,695","6,189","17,565","20,771","16,789","19,070","18,264","10,495","5,555","881","26","58,720","58,720","2,900","3,093","8,067","10,396","8,564","9,516","9,096","4,752","2,098","233","5","62,580","62,580","2,795","3,096","9,498","10,375","8,225","9,554","9,168","5,743","3,457","648","21"
"서울특별시 중구 소공동(1114052000)","2,177","2,177","145","133","225","446","516","316","232","105","50","9","0","1,028","1,028","82","44","87","199","256","167","118","52","20","3","0","1,149","1,149","63","89","138","247","260","149","114","53","30","6","0"
"서울특별시 중구 회현동(1114054000)","4,381","4,381","163","207","419","524","530","783","943","513","251","46","2","2,293","2,293","86","106","212","250","278","422","552","256","120","11","0","2,088","2,088","77","101","207","274","252","361","391","257","131","35","2"
"서울특별시 중구 명동(1114055000)","2,621","2,621","63","115","324","361","362","445","487","277","159","28","0","1,101","1,101","36","54","131","187","156","194","189","104","45","5","0","1,520","1,520","27","61","193","174","206","251","298","173","114","23","0"
"서울특별시 중구 필동(1114057000)","4,002","4,002","140","197","750","689","473","567","611","328","197","48","2","2,083","2,083","78","97","377","367","262","329","315","166","80","12","0","1,919","1,919","62","100","373","322","211","238","296","162","117","36","2"
"서울특별시 중구 장충동(1114058000)","4,584","4,584","130","276","1,283","661","500","589","531","365","216","33","0","2,406","2,406","71","140","723","380","263","305","266","167","81","10","0","2,178","2,178","59","136","560","281","237","284","265","198","135","23","0"
"서울특별시 중구 광희동(1114059000)","5,746","5,746","119","194","1,220","1,218","676","747","827","506","214","25","0","2,830","2,830","60","96","479","643","348","416","448","243","89","8","0","2,916","2,916","59","98","741","575","328","331","379","263","125","17","0"
